Job titiles,Domain,AI Impact,Model_AI_Impact,Job_Resilience_Score,Resilience_Level
Sharepoint Developer,Medical & Healthcare,45,45.943333333333335,54.056666666666665,Medium Resilience
Technical Support,Supply Chain & Logistics,45,45.25,54.75,Medium Resilience
Technical Support Agent,Law Enforcement,45,45.96666666666667,54.03333333333333,Medium Resilience
Technical Support Representative,Construction,45,45.36666666666667,54.63333333333333,Medium Resilience
Technology Specialist,Sales & Marketing,45,49.626666666666665,50.373333333333335,Medium Resilience
Virtualization Engineer,Hospitality,45,48.24333333333333,51.75666666666667,Medium Resilience
Wireless Consultant,Communication & PR,45,45.3,54.7,Medium Resilience
Financial Planning Analyst,Data & IT,45,40.71666666666667,59.28333333333333,Medium Resilience
Kyc Analyst,Administrative & Clerical,45,44.17333333333333,55.82666666666667,Medium Resilience
Product Analyst,Leadership & Strategy,45,50.18333333333333,49.81666666666667,Medium Resilience
Research Technician,Medical & Healthcare,45,45.45,54.55,Medium Resilience
Sap Analyst,Supply Chain & Logistics,45,45.5,54.5,Medium Resilience
Clinical Data Manager,Law Enforcement,45,36.72,63.28,Medium Resilience
Enterprise Data Architect,Construction,45,36.74,63.26,Medium Resilience
Junior Data Analyst,Sales & Marketing,45,32.43333333333333,67.56666666666666,Medium Resilience
Oracle Database Administrator,Hospitality,45,45.88333333333333,54.11666666666667,Medium Resilience
Senior Data Analyst,Communication & PR,45,45.03333333333333,54.96666666666667,Medium Resilience
Windows Server Administrator,Data & IT,45,46.21666666666667,53.78333333333333,Medium Resilience
Digital Designer,Administrative & Clerical,45,25.3,74.7,High Resilience
Visual Designer,Leadership & Strategy,45,46.66666666666666,53.33333333333334,Medium Resilience
Recruiter,Medical & Healthcare,45,46.06666666666667,53.93333333333333,Medium Resilience
Recruitment Specialist,Supply Chain & Logistics,45,45.18,54.82,Medium Resilience
Senior Recruiter,Law Enforcement,45,46.11666666666667,53.88333333333333,Medium Resilience
Paralegal Assistant,Construction,45,45.4,54.6,Medium Resilience
Patent Paralegal,Sales & Marketing,45,43.88333333333333,56.11666666666667,Medium Resilience
Personal Injury Paralegal,Hospitality,45,46.3,53.7,Medium Resilience
Trademark Paralegal,Communication & PR,45,45.06666666666667,54.93333333333333,Medium Resilience
Healthcare Analyst,Data & IT,45,43.32333333333333,56.67666666666667,Medium Resilience
Medical Administrator,Administrative & Clerical,45,37.86,62.14,Medium Resilience
Medical Office Administrator,Leadership & Strategy,45,43.45666666666666,56.54333333333334,Medium Resilience
Medical Records Clerk,Medical & Healthcare,45,44.28333333333333,55.71666666666667,Medium Resilience
Medical Records Technician,Supply Chain & Logistics,45,44.196666666666665,55.803333333333335,Medium Resilience
Pharmacy Clerk,Law Enforcement,45,32.29333333333334,67.70666666666666,Medium Resilience
Buyer,Construction,45,43.79,56.21,Medium Resilience
Export Coordinator,Sales & Marketing,45,44.71666666666667,55.28333333333333,Medium Resilience
Inventory Controller,Hospitality,45,36.74666666666667,63.25333333333333,Medium Resilience
Inventory Coordinator,Communication & PR,45,42.74333333333333,57.25666666666667,Medium Resilience
Logistics Associate,Data & IT,45,42.87,57.13,Medium Resilience
Shipping Supervisor,Administrative & Clerical,45,46.086666666666666,53.913333333333334,Medium Resilience
Assistant Account Executive,Leadership & Strategy,45,41.41666666666666,58.58333333333334,Medium Resilience
Associate Editor,Medical & Healthcare,45,38.53333333333333,61.46666666666667,Medium Resilience
Broadcast Technician,Supply Chain & Logistics,45,33.67666666666667,66.32333333333332,Medium Resilience
Content Editor,Law Enforcement,45,38.61666666666667,61.38333333333333,Medium Resilience
Transcriptionist,Construction,45,46.03333333333333,53.96666666666667,Medium Resilience
Qa Engineer,Sales & Marketing,45,46.59333333333333,53.40666666666667,Medium Resilience
Warehouse Packer,Hospitality,45,39.36333333333334,60.63666666666666,Medium Resilience
Warehouse Picker,Communication & PR,45,39.92666666666667,60.07333333333333,Medium Resilience
Warehouse Selector,Data & IT,45,35.223333333333336,64.77666666666667,Medium Resilience
Management Consulting,Administrative & Clerical,45,43.583333333333336,56.416666666666664,Medium Resilience
Principal Consultant,Leadership & Strategy,45,45.9,54.1,Medium Resilience
Senior Consultant,Medical & Healthcare,45,45.61666666666667,54.38333333333333,Medium Resilience
Strategy Consultant,Supply Chain & Logistics,45,44.946666666666665,55.053333333333335,Medium Resilience
Assistant Brand Manager,Law Enforcement,45,39.41666666666666,60.58333333333334,Medium Resilience
Assistant Marketing Manager,Construction,45,33.056666666666665,66.94333333333333,Medium Resilience
Associate Brand Manager,Sales & Marketing,45,38.1,61.9,Medium Resilience
Associate Marketing Manager,Hospitality,45,22.116666666666667,77.88333333333333,High Resilience
Brand Manager,Communication & PR,45,39.39,60.61,Medium Resilience
Brand Marketing Manager,Data & IT,45,37.5,62.5,Medium Resilience
Director Of Digital Marketing,Administrative & Clerical,45,42.07,57.93,Medium Resilience
Director Of Marketing,Leadership & Strategy,45,34.71666666666667,65.28333333333333,Medium Resilience
Marketing,Medical & Healthcare,45,37.61666666666667,62.38333333333333,Medium Resilience
Marketing Account Executive,Supply Chain & Logistics,45,39.25,60.75,Medium Resilience
Marketing Account Manager,Law Enforcement,45,36.35666666666667,63.64333333333333,Medium Resilience
Marketing Director,Construction,45,35.95,64.05,Medium Resilience
Marketing Executive,Sales & Marketing,45,38.98333333333333,61.01666666666667,Medium Resilience
Marketing Manager,Hospitality,45,25.87333333333333,74.12666666666667,High Resilience
Senior Marketing Manager,Communication & PR,45,42.61666666666667,57.38333333333333,Medium Resilience
Social Media Marketing Manager,Data & IT,45,38.43,61.57,Medium Resilience
Agile Project Manager,Administrative & Clerical,45,43.59666666666666,56.40333333333334,Medium Resilience
Director Of Product Management,Leadership & Strategy,45,38.35333333333333,61.64666666666667,Medium Resilience
Pmo Analyst,Medical & Healthcare,45,44.766666666666666,55.233333333333334,Medium Resilience
Product Development Manager,Supply Chain & Logistics,45,44.056666666666665,55.943333333333335,Medium Resilience
Project Analyst,Law Enforcement,45,46.16666666666666,53.83333333333334,Medium Resilience
Project Control Analyst,Construction,45,44.81333333333333,55.18666666666667,Medium Resilience
Project Management Consultant,Sales & Marketing,45,46.6,53.4,Medium Resilience
Director Of Ecommerce,Hospitality,45,36.18333333333333,63.81666666666667,Medium Resilience
Ecommerce Manager,Communication & PR,45,34.7,65.3,Medium Resilience
Merchandise Buyer,Data & IT,45,36.2,63.8,Medium Resilience
Autocad Draftsman,Administrative & Clerical,45,33.6,66.4,Medium Resilience
Concrete Pump Operator,Leadership & Strategy,45,37.09666666666666,62.90333333333334,Medium Resilience
Land Surveyor,Medical & Healthcare,45,33.343333333333334,66.65666666666667,Medium Resilience
Claims Analyst,Supply Chain & Logistics,45,40.583333333333336,59.416666666666664,Medium Resilience
Claims Investigator,Law Enforcement,45,40.53333333333333,59.46666666666667,Medium Resilience
Insurance Appraiser,Construction,45,25.863333333333333,74.13666666666667,High Resilience
Insurance Investigator,Sales & Marketing,45,43.35,56.65,Medium Resilience
Insurance Underwriter,Hospitality,45,40.61,59.39,Medium Resilience
Band Director,Communication & PR,45,31.85,68.15,Medium Resilience
Education Specialist,Data & IT,45,36.89333333333333,63.10666666666667,Medium Resilience
Environmental Educator,Administrative & Clerical,45,40.79333333333334,59.20666666666666,Medium Resilience
Training Manager,Leadership & Strategy,45,43.78333333333333,56.21666666666667,Medium Resilience
Book Reviewer,Medical & Healthcare,45,36.92333333333333,63.07666666666667,Medium Resilience
Clinical Research,Supply Chain & Logistics,45,39.91,60.09,Medium Resilience
Dietetic Technician,Law Enforcement,45,39.38333333333333,60.61666666666667,Medium Resilience
Drug Safety Associate,Construction,45,43.46666666666667,56.53333333333333,Medium Resilience
Formulation Scientist,Sales & Marketing,45,38.57,61.43,Medium Resilience
Healthcare Management,Hospitality,45,41.986666666666665,58.013333333333335,Medium Resilience
Escrow Assistant,Communication & PR,45,42.63,57.37,Medium Resilience
Biomedical Technician,Data & IT,45,33.42333333333333,66.57666666666667,Medium Resilience
Chemical Lab Technician,Administrative & Clerical,45,36.97,63.03,Medium Resilience
Laboratory Technician,Leadership & Strategy,45,42.906666666666666,57.093333333333334,Medium Resilience
Radiographer,Medical & Healthcare,45,41.21666666666667,58.78333333333333,Medium Resilience
Research Analyst,Supply Chain & Logistics,45,44.5,55.5,Medium Resilience
Account Analyst,Law Enforcement,45,42.53333333333333,57.46666666666667,Medium Resilience
Accounting Analyst,Construction,45,44.71666666666667,55.28333333333333,Medium Resilience
Accounts Payable Analyst,Sales & Marketing,45,42.403333333333336,57.596666666666664,Medium Resilience
Billing Clerk,Hospitality,45,44.48333333333333,55.51666666666667,Medium Resilience
Billing Coordinator,Communication & PR,45,44.70666666666666,55.29333333333334,Medium Resilience
Billing Representative,Data & IT,45,39.00666666666667,60.99333333333333,Medium Resilience
Billing Specialist,Administrative & Clerical,45,44.69,55.31,Medium Resilience
Billing Supervisor,Leadership & Strategy,45,41.81,58.19,Medium Resilience
Finance Administrator,Medical & Healthcare,45,44.55,55.45,Medium Resilience
Finance Assistant,Supply Chain & Logistics,45,44.32333333333333,55.67666666666667,Medium Resilience
Finance Associate,Law Enforcement,45,44.56666666666667,55.43333333333333,Medium Resilience
Finance Consultant,Construction,45,42.75,57.25,Medium Resilience
Financial Assistant,Sales & Marketing,45,44.02333333333333,55.97666666666667,Medium Resilience
Financial Associate,Hospitality,45,43.88333333333333,56.11666666666667,Medium Resilience
Financial Coordinator,Communication & PR,45,43.95,56.05,Medium Resilience
Financial Representative,Data & IT,45,40.236666666666665,59.763333333333335,Medium Resilience
Financial Services Representative,Administrative & Clerical,45,39.98333333333333,60.01666666666667,Medium Resilience
Loan Specialist,Leadership & Strategy,45,41.556666666666665,58.443333333333335,Medium Resilience
Staff Auditor,Medical & Healthcare,45,47.583333333333336,52.416666666666664,Medium Resilience
Tax Manager,Supply Chain & Logistics,45,46.333333333333336,53.666666666666664,Medium Resilience
Valuation Analyst,Law Enforcement,45,49.56666666666667,50.43333333333333,Medium Resilience
Clinical Coordinator,Construction,45,43.1,56.9,Medium Resilience
Clinical Support Specialist,Sales & Marketing,45,43.21,56.79,Medium Resilience
Certified Welding Inspector,Hospitality,45,35.08,64.92,Medium Resilience
Computer Technician,Communication & PR,45,42.96666666666667,57.03333333333333,Medium Resilience
General Maintenance Technician,Data & IT,45,36.08,63.92,Medium Resilience
General Service Technician,Administrative & Clerical,45,40.03666666666667,59.96333333333333,Medium Resilience
Industrial Maintenance Mechanic,Leadership & Strategy,45,38.083333333333336,61.916666666666664,Medium Resilience
Industrial Maintenance Technician,Medical & Healthcare,45,37.08,62.92,Medium Resilience
Service Advisor,Supply Chain & Logistics,45,45.3,54.7,Medium Resilience
Cnc Machine Operator,Law Enforcement,45,35.71666666666667,64.28333333333333,Medium Resilience
Inventory Control Supervisor,Construction,45,42.303333333333335,57.696666666666665,Medium Resilience
Manufacturing Associate,Sales & Marketing,45,39.55,60.45,Medium Resilience
Operator,Hospitality,45,40.556666666666665,59.443333333333335,Medium Resilience
Order Selector,Communication & PR,45,42.79666666666667,57.20333333333333,Medium Resilience
Scanner,Data & IT,45,51.56333333333333,48.43666666666667,Medium Resilience
Pcb Design Engineer,Administrative & Clerical,45,39.60333333333333,60.39666666666667,Medium Resilience
Pcb Designer,Leadership & Strategy,45,42.49333333333333,57.50666666666667,Medium Resilience
Service Engineer,Medical & Healthcare,45,58.03,41.97,Medium Resilience
Document Control Specialist,Supply Chain & Logistics,45,42.68333333333333,57.31666666666667,Medium Resilience
Facility Coordinator,Law Enforcement,45,41.86333333333334,58.13666666666666,Medium Resilience
Implementation Coordinator,Construction,45,44.2,55.8,Medium Resilience
Medical Office Receptionist,Sales & Marketing,45,44.38333333333333,55.61666666666667,Medium Resilience
Medical Receptionist,Hospitality,45,44.78,55.22,Medium Resilience
Regulatory Affairs Specialist,Communication & PR,45,45.81666666666667,54.18333333333333,Medium Resilience
Validation Specialist,Data & IT,45,45.78333333333333,54.21666666666667,Medium Resilience
Bus Driver,Administrative & Clerical,45,42.46666666666667,57.53333333333333,Medium Resilience
Bus Operator,Leadership & Strategy,45,42.25666666666667,57.74333333333333,Medium Resilience
Class A CDL,Medical & Healthcare,45,39.553333333333335,60.446666666666665,Medium Resilience
Company Driver,Supply Chain & Logistics,45,42.81666666666667,57.18333333333333,Medium Resilience
Flatbed Driver,Law Enforcement,45,42.03,57.97,Medium Resilience
Local Cdl,Construction,45,37.833333333333336,62.166666666666664,Medium Resilience
Local Delivery Driver,Sales & Marketing,45,43.836666666666666,56.163333333333334,Medium Resilience
Local Truck Driver,Hospitality,45,43.21,56.79,Medium Resilience
Otr Driver,Communication & PR,45,44.78333333333333,55.21666666666667,Medium Resilience
Owner Operator,Data & IT,45,46.24333333333333,53.75666666666667,Medium Resilience
Parts Delivery Driver,Administrative & Clerical,45,44.766666666666666,55.233333333333334,Medium Resilience
Pizza Delivery Driver,Leadership & Strategy,45,43.41666666666666,56.58333333333334,Medium Resilience
School Bus Driver,Medical & Healthcare,45,46.55,53.45,Medium Resilience
Tanker Driver,Supply Chain & Logistics,45,45.86666666666667,54.13333333333333,Medium Resilience
Truck Driver,Law Enforcement,45,44.23,55.77,Medium Resilience
Trucker,Construction,45,43.7,56.3,Medium Resilience
Casino Manager,Sales & Marketing,45,35.803333333333335,64.19666666666666,Medium Resilience
Dietary Manager,Hospitality,45,33.833333333333336,66.16666666666666,Medium Resilience
Food Production Manager,Communication & PR,45,44.11666666666667,55.88333333333333,Medium Resilience
Gate Agent,Data & IT,45,43.56333333333333,56.43666666666667,Medium Resilience
Hostess,Administrative & Clerical,45,37.31666666666667,62.68333333333333,Medium Resilience
Hotel Front Desk,Leadership & Strategy,45,39.46333333333333,60.53666666666667,Medium Resilience
Hotel Receptionist,Medical & Healthcare,45,36.71,63.29,Medium Resilience
Pediatric Oncology Nurse,Supply Chain & Logistics,45,40.266666666666666,59.733333333333334,Medium Resilience
Chief Investment Officer,Law Enforcement,45,27.55,72.45,High Resilience
Nurse Practitioner,Construction,45,40.65,59.35,Medium Resilience
Audio Technician,Sales & Marketing,45,33.89333333333333,66.10666666666667,Medium Resilience
Devops Engineer,Hospitality,45,19.666666666666668,80.33333333333333,High Resilience
Tax Director,Communication & PR,45,33.10666666666667,66.89333333333333,Medium Resilience
Clinical Nurse Manager,Data & IT,45,25.13,74.87,High Resilience
Disability Case Manager,Administrative & Clerical,45,41.45,58.55,Medium Resilience
Insurance Sales Manager,Leadership & Strategy,45,44.16333333333333,55.83666666666667,Medium Resilience
Medical Practice Manager,Medical & Healthcare,45,43.41666666666666,56.58333333333334,Medium Resilience
Medical Records Specialist,Supply Chain & Logistics,45,42.78,57.22,Medium Resilience
Content Developer,Law Enforcement,45,32.766666666666666,67.23333333333333,Medium Resilience
Corporate Trainer,Construction,45,43.04666666666667,56.95333333333333,Medium Resilience
Customer Account Manager,Sales & Marketing,45,41.88333333333333,58.11666666666667,Medium Resilience
Division Order Analyst,Hospitality,45,42.35333333333333,57.64666666666667,Medium Resilience
Inventory Analyst,Communication & PR,45,35.166666666666664,64.83333333333334,Medium Resilience
Lot Attendant,Data & IT,45,38.193333333333335,61.806666666666665,Medium Resilience
Operation Specialist,Administrative & Clerical,45,42.016666666666666,57.983333333333334,Medium Resilience
Peoplesoft Consultant,Leadership & Strategy,45,42.656666666666666,57.343333333333334,Medium Resilience
Process Analyst,Medical & Healthcare,45,41.083333333333336,58.916666666666664,Medium Resilience
Process Improvement Engineer,Supply Chain & Logistics,45,42.8,57.2,Medium Resilience
Procurement Analyst,Law Enforcement,45,42.0,58.0,Medium Resilience
Social Media Strategist,Construction,45,41.333333333333336,58.666666666666664,Medium Resilience
Strategic Sourcing Manager,Sales & Marketing,45,39.14,60.86,Medium Resilience
Advertising Sales Representative,Hospitality,45,43.083333333333336,56.916666666666664,Medium Resilience
Business Development Representative,Communication & PR,45,39.02666666666666,60.97333333333334,Medium Resilience
Field Sales Representative,Data & IT,45,42.78333333333333,57.21666666666667,Medium Resilience
Field Service Representative,Administrative & Clerical,45,43.63,56.37,Medium Resilience
Group Sales Manager,Leadership & Strategy,45,41.15,58.85,Medium Resilience
Independent Sales Representative,Medical & Healthcare,45,31.24333333333333,68.75666666666667,Medium Resilience
Medical Sales,Supply Chain & Logistics,45,31.19,68.81,Medium Resilience
Outside Sales,Law Enforcement,45,42.85,57.15,Medium Resilience
Regional Sales Executive,Construction,45,39.833333333333336,60.166666666666664,Medium Resilience
Retail Sales Representative,Sales & Marketing,45,41.556666666666665,58.443333333333335,Medium Resilience
Route Sales Representative,Hospitality,45,38.42,61.58,Medium Resilience
Sales Administrator,Communication & PR,45,43.60333333333333,56.39666666666667,Medium Resilience
Sales Advisor,Data & IT,45,43.61666666666667,56.38333333333333,Medium Resilience
Sales Representative,Administrative & Clerical,45,40.05,59.95,Medium Resilience
Assistant Nurse Manager,Leadership & Strategy,45,42.23333333333333,57.76666666666667,Medium Resilience
Certified Nurse Assistant,Medical & Healthcare,45,42.38333333333333,57.61666666666667,Medium Resilience
Graduate Nurse,Supply Chain & Logistics,45,39.69,60.31,Medium Resilience
Neonatal Nurse,Law Enforcement,45,39.05,60.95,Medium Resilience
Nurse Assistant,Construction,45,42.07333333333333,57.92666666666667,Medium Resilience
Pediatric Nurse,Sales & Marketing,44,24.686666666666667,75.31333333333333,High Resilience
Field Service Technician,Hospitality,43,38.22,61.78,Medium Resilience
Regulatory Affairs Associate,Communication & PR,43,41.99666666666667,58.00333333333333,Medium Resilience
Aeronautical Engineer,Data & IT,43,41.03333333333333,58.96666666666667,Medium Resilience
Agricultural Engineer,Administrative & Clerical,43,31.41333333333333,68.58666666666667,Medium Resilience
Antenna Engineer,Leadership & Strategy,43,42.09,57.91,Medium Resilience
Avionics Engineer,Medical & Healthcare,42,38.013333333333335,61.986666666666665,Medium Resilience
Cfd Engineer,Supply Chain & Logistics,42,38.68,61.32,Medium Resilience
Electrical Design Engineer,Law Enforcement,42,37.42,62.58,Medium Resilience
Electrical Designer,Construction,42,32.07,67.93,Medium Resilience
Electronics Engineer,Sales & Marketing,42,37.906666666666666,62.093333333333334,Medium Resilience
Fea Engineer,Hospitality,42,37.086666666666666,62.913333333333334,Medium Resilience
Hvac Design Engineer,Communication & PR,41,34.10666666666667,65.89333333333333,Medium Resilience
Lobby Attendant,Data & IT,40,34.99333333333333,65.00666666666666,Medium Resilience
Night Auditor,Administrative & Clerical,40,28.33,71.67,High Resilience
Reservation Agent,Leadership & Strategy,40,40.00333333333333,59.99666666666667,Medium Resilience
Restaurant Operations Manager,Medical & Healthcare,40,35.82333333333333,64.17666666666668,Medium Resilience
Restaurant Server,Supply Chain & Logistics,40,29.843333333333334,70.15666666666667,High Resilience
Room Attendant,Law Enforcement,40,26.96333333333333,73.03666666666666,High Resilience
Room Service Server,Construction,40,12.376666666666669,87.62333333333333,High Resilience
Travel Agent,Sales & Marketing,40,32.623333333333335,67.37666666666667,Medium Resilience
Travel Counselor,Hospitality,40,35.53666666666667,64.46333333333334,Medium Resilience
Travel Specialist,Communication & PR,40,33.583333333333336,66.41666666666666,Medium Resilience
Decorator,Data & IT,40,21.23,78.77,High Resilience
Youth Development Specialist,Administrative & Clerical,40,34.71333333333333,65.28666666666666,Medium Resilience
Armed Guard,Leadership & Strategy,40,29.12,70.88,High Resilience
Armed Security,Medical & Healthcare,40,30.756666666666668,69.24333333333334,Medium Resilience
Bodyguard,Supply Chain & Logistics,40,29.48333333333333,70.51666666666667,High Resilience
Crime Analyst,Law Enforcement,40,39.833333333333336,60.166666666666664,Medium Resilience
Intelligence Officer,Construction,40,36.09,63.91,Medium Resilience
Loss Prevention,Sales & Marketing,40,35.666666666666664,64.33333333333334,Medium Resilience
Personnel Security Specialist,Hospitality,40,40.39333333333333,59.60666666666667,Medium Resilience
Privacy Officer,Communication & PR,40,39.763333333333335,60.236666666666665,Medium Resilience
Public Affairs Specialist,Data & IT,40,37.873333333333335,62.126666666666665,Medium Resilience
Safety Assistant,Administrative & Clerical,40,34.13,65.87,Medium Resilience
Bi Analyst,Leadership & Strategy,40,40.9,59.1,Medium Resilience
Citrix Engineer,Medical & Healthcare,40,29.94333333333333,70.05666666666667,High Resilience
Desktop Support,Supply Chain & Logistics,40,38.46,61.54,Medium Resilience
Desktop Support Specialist,Law Enforcement,40,39.12,60.88,Medium Resilience
Help Desk Specialist,Construction,40,39.15,60.85,Medium Resilience
It Architect,Sales & Marketing,40,38.91666666666666,61.08333333333334,Medium Resilience
It Support,Hospitality,40,40.2,59.8,Medium Resilience
It Support Analyst,Communication & PR,40,39.81666666666667,60.18333333333333,Medium Resilience
Junior Systems Administrator,Data & IT,40,39.583333333333336,60.416666666666664,Medium Resilience
Network Architect,Administrative & Clerical,40,39.7,60.3,Medium Resilience
Network Specialist,Leadership & Strategy,40,40.25,59.75,Medium Resilience
Network Support Technician,Medical & Healthcare,40,36.8,63.2,Medium Resilience
Performance Tester,Supply Chain & Logistics,40,39.836666666666666,60.163333333333334,Medium Resilience
Sap Administrator,Law Enforcement,40,39.92333333333333,60.07666666666667,Medium Resilience
Sap Security Consultant,Construction,40,40.25,59.75,Medium Resilience
Senior Network Engineer,Sales & Marketing,40,39.333333333333336,60.666666666666664,Medium Resilience
Service Desk Analyst,Hospitality,40,39.016666666666666,60.983333333333334,Medium Resilience
Sharepoint Consultant,Communication & PR,40,41.36,58.64,Medium Resilience
Solutions Architect,Data & IT,40,39.266666666666666,60.733333333333334,Medium Resilience
Systems Architect,Administrative & Clerical,40,29.94333333333333,70.05666666666667,High Resilience
Tech Support,Leadership & Strategy,40,30.383333333333333,69.61666666666667,Medium Resilience
Technology Coordinator,Medical & Healthcare,40,12.703333333333331,87.29666666666667,High Resilience
Telecommunications Analyst,Supply Chain & Logistics,40,34.24,65.75999999999999,Medium Resilience
Unloader,Law Enforcement,40,31.66333333333333,68.33666666666667,Medium Resilience
Warehouse Operator,Construction,40,35.57666666666667,64.42333333333333,Medium Resilience
Business Consultant,Sales & Marketing,40,38.49333333333333,61.50666666666667,Medium Resilience
Process Improvement Specialist,Hospitality,40,39.93333333333333,60.06666666666667,Medium Resilience
Professional Services Consultant,Communication & PR,40,37.55,62.45,Medium Resilience
Solutions Consultant,Data & IT,40,39.55,60.45,Medium Resilience
Strategic Consultant,Administrative & Clerical,40,43.696666666666665,56.303333333333335,Medium Resilience
Call Center,Leadership & Strategy,40,38.19,61.81,Medium Resilience
Circulation Manager,Medical & Healthcare,40,35.85,64.15,Medium Resilience
Market Analyst,Supply Chain & Logistics,40,39.193333333333335,60.806666666666665,Medium Resilience
Market Research Analyst,Law Enforcement,40,38.48,61.52,Medium Resilience
Market Researcher,Construction,40,39.36666666666667,60.63333333333333,Medium Resilience
Marketing Analyst,Sales & Marketing,40,38.833333333333336,61.166666666666664,Medium Resilience
Marketing Research Analyst,Hospitality,40,38.193333333333335,61.806666666666665,Medium Resilience
Media Buyer,Communication & PR,40,38.473333333333336,61.526666666666664,Medium Resilience
Unit Coordinator,Data & IT,40,38.66,61.34,Medium Resilience
Architectural Project Manager,Administrative & Clerical,40,39.5,60.5,Medium Resilience
Assistant Product Manager,Leadership & Strategy,40,40.25,59.75,Medium Resilience
Associate Project Manager,Medical & Healthcare,40,38.81666666666667,61.18333333333333,Medium Resilience
It Project Coordinator,Supply Chain & Logistics,40,36.95333333333333,63.04666666666667,Medium Resilience
Junior Project Manager,Law Enforcement,40,36.67666666666667,63.32333333333333,Medium Resilience
Product Developer,Construction,40,32.15,67.85,Medium Resilience
Project Administrator,Sales & Marketing,40,39.57,60.43,Medium Resilience
Project Coordinator,Hospitality,40,39.92333333333333,60.07666666666667,Medium Resilience
Project Director,Communication & PR,40,40.06,59.94,Medium Resilience
Project Management Assistant,Data & IT,40,40.376666666666665,59.623333333333335,Medium Resilience
Project Officer,Administrative & Clerical,40,40.38333333333333,59.61666666666667,Medium Resilience
Project Scheduler,Leadership & Strategy,40,40.25333333333333,59.74666666666667,Medium Resilience
Project Supervisor,Medical & Healthcare,40,40.223333333333336,59.776666666666664,Medium Resilience
Courtesy Clerk,Supply Chain & Logistics,40,31.75,68.25,Medium Resilience
Deli Clerk,Law Enforcement,40,27.816666666666663,72.18333333333334,High Resilience
Floor Supervisor,Construction,40,38.95,61.05,Medium Resilience
Merchandise Coordinator,Sales & Marketing,40,30.066666666666663,69.93333333333334,Medium Resilience
Autocad Designer,Hospitality,40,27.76333333333333,72.23666666666668,High Resilience
Civil Drafter,Communication & PR,40,36.70666666666666,63.29333333333334,Medium Resilience
Dozer Operator,Data & IT,40,33.82,66.18,Medium Resilience
Electrical Project Manager,Administrative & Clerical,40,37.92333333333333,62.07666666666667,Medium Resilience
Estimator,Leadership & Strategy,40,38.69,61.31,Medium Resilience
Heavy Equipment Mechanic,Medical & Healthcare,40,32.54,67.46000000000001,Medium Resilience
Independent Contractor,Supply Chain & Logistics,40,37.85,62.15,Medium Resilience
Installation Coordinator,Law Enforcement,40,40.51,59.49,Medium Resilience
Pipeline Controller,Construction,40,33.85,66.15,Medium Resilience
Shop Foreman,Sales & Marketing,40,34.23,65.77000000000001,Medium Resilience
Claim Analyst,Hospitality,40,40.03666666666667,59.96333333333333,Medium Resilience
Claim Examiner,Communication & PR,40,40.08,59.92,Medium Resilience
Claims,Data & IT,40,40.98,59.02,Medium Resilience
Claims Adjuster,Administrative & Clerical,40,40.31666666666667,59.68333333333333,Medium Resilience
Claims Supervisor,Leadership & Strategy,40,39.95333333333333,60.04666666666667,Medium Resilience
Insurance Clerk,Medical & Healthcare,40,38.0,62.0,Medium Resilience
Netsuite Consultant,Supply Chain & Logistics,40,39.48333333333333,60.51666666666667,Medium Resilience
Php Developer,Law Enforcement,40,34.87,65.13,Medium Resilience
Php Web Developer,Construction,40,35.306666666666665,64.69333333333333,Medium Resilience
Sap Abap Developer,Sales & Marketing,40,39.85333333333333,60.14666666666667,Medium Resilience
Software Trainer,Hospitality,40,36.98333333333333,63.01666666666667,Medium Resilience
Bi Developer,Communication & PR,40,39.766666666666666,60.233333333333334,Medium Resilience
Business Developer,Data & IT,40,37.98333333333333,62.01666666666667,Medium Resilience
Business Objects Developer,Administrative & Clerical,40,39.9,60.1,Medium Resilience
Cost Analyst,Leadership & Strategy,40,35.06666666666667,64.93333333333334,Medium Resilience
Erp Analyst,Medical & Healthcare,40,34.45,65.55,Medium Resilience
Field Investigator,Supply Chain & Logistics,40,39.85333333333333,60.14666666666667,Medium Resilience
Fraud Analyst,Law Enforcement,40,40.05,59.95,Medium Resilience
Junior Financial Analyst,Construction,40,36.11666666666667,63.88333333333333,Medium Resilience
Loss Prevention Detective,Sales & Marketing,40,40.20333333333333,59.79666666666667,Medium Resilience
Patent Analyst,Hospitality,40,41.45,58.55,Medium Resilience
Planning Analyst,Communication & PR,40,40.21,59.79,Medium Resilience
Clinical Data Associate,Data & IT,40,35.96666666666667,64.03333333333333,Medium Resilience
Clinical Data Coordinator,Administrative & Clerical,40,33.803333333333335,66.19666666666666,Medium Resilience
Cloud Consultant,Leadership & Strategy,40,38.48333333333333,61.51666666666667,Medium Resilience
Data Center Manager,Medical & Healthcare,40,34.15,65.85,Medium Resilience
Data Specialist,Supply Chain & Logistics,40,39.06666666666667,60.93333333333333,Medium Resilience
Database Manager,Law Enforcement,40,34.07666666666667,65.92333333333333,Medium Resilience
Gis Specialist,Construction,40,39.28333333333333,60.71666666666667,Medium Resilience
Marketing Data Analyst,Sales & Marketing,40,39.36333333333334,60.63666666666666,Medium Resilience
Oracle Consultant,Hospitality,40,39.23333333333333,60.76666666666667,Medium Resilience
Server Engineer,Communication & PR,40,43.37,56.63,Medium Resilience
Ui Designer,Data & IT,40,33.42,66.58,Medium Resilience
User Interface Designer,Administrative & Clerical,40,32.86333333333334,67.13666666666666,Medium Resilience
